search URL:,https://patents.google.com/?q=autonomous+vehicle&country=US&after=priority:20120101
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link
US8473144B1,Controlling vehicle lateral lane positioning ,Google Inc.,"Dmitri Dolgov, Christopher Urmson",2012-10-30,2012-10-30,2013-06-25,2013-06-25,https://patents.google.com/patent/US8473144B1/en
US20150006005A1,Autonomous Unmanned Road Vehicle for Making Deliveries ,"Steven Sounyoung Yu, Sounil Yu","Steven Sounyoung Yu, Sounil Yu",2013-07-01,2014-06-29,2015-01-01,,https://patents.google.com/patent/US20150006005A1/en
US20140207325A1,"Efficient data flow algorithms for autonomous lane changing, passing and overtaking behaviors ",GM Global Technology Operations LLC,"Upali Priyantha Mudalige, Michael Losh",2013-01-21,2013-01-21,2014-07-24,,https://patents.google.com/patent/US20140207325A1/en
US20140156182A1,Determining and displaying auto drive lanes in an autonomous vehicle ,"Philip Nemec, Brian Cullinane, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet","Philip Nemec, Brian Cullinane, Manuel Christian Clement, Robertus Christianus Elisabeth Mariet",2012-11-30,2013-03-11,2014-06-05,,https://patents.google.com/patent/US20140156182A1/en
US20140148988A1,Method and system for controlling a vehicle ,Volkswagen Ag,"William Brian LATHROP, Erik Glaser, Nathaniel Coser, Bryan GRANT, James TOGGWEILER",2012-11-29,2012-11-29,2014-05-29,,https://patents.google.com/patent/US20140148988A1/en
US20150178998A1,Fault handling in an autonomous vehicle ,"Ford Global Technologies, Llc","Christopher Attard, Shane Elwart, Jeff Allen Greenberg, Rajit Johri, John P. Joyce, Devinder Singh Kochhar, Douglas Scott Rhode, John Shutko, Hongtei Eric Tseng",2013-12-20,2014-02-20,2015-06-25,,https://patents.google.com/patent/US20150178998A1/en
US20150149017A1,Autonomous vehicle modes ,"Ford Global Technologies, Llc","Christopher Attard, Shane Elwart, Jeff Allen Greenberg, Rajit Johri, John P. Joyce, Devinder Singh Kochhar, Douglas Scott Rhode, John Shutko, Louis Tijerna, Eric Hongtei Tseng, Wilford Trent Yopp",2013-11-22,2013-11-22,2015-05-28,,https://patents.google.com/patent/US20150149017A1/en
US8948935B1,Providing a medical support device via an unmanned aerial vehicle ,Google Inc.,"Eric Peeters, Eric Teller, William Graham Patrick, Sergey Brin",2013-01-02,2013-01-02,2015-02-03,2015-02-03,https://patents.google.com/patent/US8948935B1/en
US9051043B1,Providing emergency medical services using unmanned aerial vehicles ,Google Inc.,"Eric Peeters, Eric Teller, William Graham Patrick",2012-12-28,2012-12-28,2015-06-09,2015-06-09,https://patents.google.com/patent/US9051043B1/en
US20140336935A1,Methods and Systems for Detecting Weather Conditions Using Vehicle Onboard Sensors ,Google Inc.,"Jiajun Zhu, Dmitri Dolgov, Dave Ferguson",2013-05-07,2013-05-07,2014-11-13,,https://patents.google.com/patent/US20140336935A1/en
US8983682B1,Unlocking mobile-device and/or unmanned aerial vehicle capability in an emergency situation ,Google Inc.,"Eric Peeters, Eric Teller, William Graham Patrick",2012-12-28,2012-12-28,2015-03-17,2015-03-17,https://patents.google.com/patent/US8983682B1/en
US20140236414A1,Method to Detect Nearby Aggressive Drivers and Adjust Driving Modes ,Google Inc.,"Pierre-Yves Droz, Jiajun Zhu",2013-02-21,2013-02-21,2014-08-21,,https://patents.google.com/patent/US20140236414A1/en
US8880272B1,Approach for estimating the geometry of roads and lanes by using vehicle trajectories ,Google Inc.,"David I. Ferguson, Dmitri A. Dolgov",2012-03-16,2012-03-16,2014-11-04,2014-11-04,https://patents.google.com/patent/US8880272B1/en
US20130197736A1,Vehicle control based on perception uncertainty ,Google Inc.,"Jiajun Zhu, Dmitri A. Dolgov, David I. Ferguson",2012-01-30,2012-01-30,2013-08-01,,https://patents.google.com/patent/US20130197736A1/en
US9079587B1,Autonomous control in a dense vehicle environment ,"Ford Global Technologies, Llc","Matt Y. Rupp, Gerald H. Engelman, Alex Maurice Miller, Timothy D. Zwicky, Levasseur Tellis, Richard Lee Stephenson",2014-02-14,2014-02-14,2015-07-14,2015-07-14,https://patents.google.com/patent/US9079587B1/en
US8825259B1,Detecting lane closures and lane shifts by an autonomous vehicle ,Google Inc.,David I. Ferguson,2013-06-21,2013-06-21,2014-09-02,2014-09-02,https://patents.google.com/patent/US8825259B1/en
US20150254986A1,Reporting Road Event Data and Sharing with Other Vehicles ,Google Inc.,"Nathaniel Fairfield, Joshua Seth Herbach, Andrew Hughes Chatham, Michael Steven Montemerlo",2014-03-04,2014-03-04,2015-09-10,,https://patents.google.com/patent/US20150254986A1/en
US20150346727A1,Parking Autonomous Vehicles ,Madhusoodhan Ramanujam,Madhusoodhan Ramanujam,2015-08-12,2015-08-12,2015-12-03,,https://patents.google.com/patent/US20150346727A1/en
US20150346718A1,Autonomous Vehicle Monitoring and Control ,Here Global B.V.,Leon Oliver Stenneth,2014-05-27,2014-05-27,2015-12-03,,https://patents.google.com/patent/US20150346718A1/en
US9014905B1,Cyclist hand signal detection by an autonomous vehicle ,Google Inc.,"Henrik Kretzschmar, Jiajun Zhu",2014-01-28,2014-01-28,2015-04-21,2015-04-21,https://patents.google.com/patent/US9014905B1/en
US20150149088A1,In-vehicle path verification ,"Ford Global Technologies, Llc","Christopher Attard, Shane Elwart, Jeff Allen Greenberg, Rajit Johri, John P. Joyce, Devinder Singh Kochhar, Thomas Edward Pilutti, Douglas Scott Rhode, Matt Y. Rupp, John Shutko, Roger Arnold Trombley, Louis Tijerina, Hongtei Eric Tseng, Andrew Waldis",2013-11-22,2013-11-22,2015-05-28,,https://patents.google.com/patent/US20150149088A1/en
